exchange,shortname,symbol,longname,sector,industry,origin,type,currency
SHH,SHANDONG NANSHAN ALUMINUM CO LT,600219.SS,"Shandong Nanshan Aluminium Co.,Ltd.",Basic Materials,Aluminum,yfinance,stock,CNY
SHH,BANK OF CHENGDU CO LTD,601838.SS,"Bank of Chengdu Co., Ltd.",Financial Services,Banks—Regional,yfinance,stock,CNY
SHH,FOUNDER SECURITIES CO LTD,601901.SS,"Founder Securities Co., Ltd.",Financial Services,Capital Markets,yfinance,stock,CNY
SHH,SICHUAN CHUANTOU ENERGY CO LTD,600674.SS,Sichuan Chuantou Energy Co.Ltd,Utilities,Utilities—Independent Power Producers,yfinance,stock,CNY
SHH,HUANENG POWER INTERNATIONAL INC,600011.SS,"Huaneng Power International, Inc.",Utilities,Utilities—Independent Power Producers,yfinance,stock,CNY
SHH,HWATSING TECHNOLOGY CO LTD,688120.SS,"Hwatsing Technology Co., Ltd.",Technology,Semiconductor Equipment & Materials,yfinance,stock,CNY
SHH,SHENGYI ELECTRONICS CO LTD,688183.SS,"Shengyi Electronics Co., Ltd.",Technology,Electronic Components,yfinance,stock,CNY
SHH,CHINA ZHESHANG BANK CO. LTD,601916.SS,"China Zheshang Bank Co., Ltd",Financial Services,Banks—Regional,yfinance,stock,CNY
SHH,JIANGSU ZHONG TIAN TECH,600522.SS,"Jiangsu Zhongtian Technology Co., Ltd.",Industrials,Electrical Equipment & Parts,yfinance,stock,CNY
SHH,INDUSTRIAL SECURITIES CO LTD,601377.SS,"Industrial Securities Co.,Ltd.",Financial Services,Capital Markets,yfinance,stock,CNY
SHH,YUNNAN YUNTIANHUA CO LTD,600096.SS,"Yunnan Yuntianhua Co., Ltd.",Basic Materials,Agricultural Inputs,yfinance,stock,CNY
SHH,HUNDSUN TECHNOLOGIES INC,600570.SS,Hundsun Technologies Inc.,Technology,Software—Application,yfinance,stock,CNY
SHH,HUAYU AUTOMOTIVE SYSTEMS CO LTD,600741.SS,HUAYU Automotive Systems Company Limited,Consumer Cyclical,Auto Parts,yfinance,stock,CNY
SHH,ZHEJIANG CHINT ELECTRICS CO LTD,601877.SS,"Zhejiang Chint Electrics Co., Ltd.",Industrials,Electrical Equipment & Parts,yfinance,stock,CNY
SHH,HENGTONG OPTIC-ELECTRIC CO.LTD,600487.SS,"Hengtong Optic-Electric Co., Ltd.",Technology,Communication Equipment,yfinance,stock,CNY
SHH,CSI SOLAR CO LTD,688472.SS,"CSI Solar Co., Ltd.",Technology,Solar,yfinance,stock,CNY
SHH,LOONGSON TECHNOLOGY CORP LTD,688047.SS,Loongson Technology Corporation Limited,Technology,Semiconductors,yfinance,stock,CNY
SHH,WESTERN SUPERCONDUCTING TECHNOL,688122.SS,"Western Superconducting Technologies Co., Ltd.",Industrials,Metal Fabrication,yfinance,stock,CNY
SHH,JINKO SOLAR CO LTD,688223.SS,"Jinko Solar Co., Ltd.",Technology,Solar,yfinance,stock,CNY
SHH,NATIONAL SILICON INDUSTRY GROUP,688126.SS,"National Silicon Industry Group Co., Ltd.",Technology,Semiconductor Equipment & Materials,yfinance,stock,CNY
SHH,YONYOU NETWORK TECHNOLOGY CO LT,600588.SS,"Yonyou Network Technology Co.,Ltd.",Technology,Software—Application,yfinance,stock,CNY
SHH,YTO EXPRESS GROUP CO LTD,600233.SS,"YTO Express Group Co.,Ltd.",Industrials,Integrated Freight & Logistics,yfinance,stock,CNY
SHH,JINDUICHENG MOLYBDENUM CO. LTD.,601958.SS,"Jinduicheng Molybdenum Co., Ltd.",Basic Materials,Other Industrial Metals & Mining,yfinance,stock,CNY
SHH,SHANGHAI ELECTRIC POWER CO,600021.SS,"Shanghai Electric Power Co., Ltd.",Utilities,Utilities—Renewable,yfinance,stock,CNY
SHH,SHANGHAI PUTAILAI NEW ENGY TECH,603659.SS,"Shanghai Putailai New Energy Technology Group Co.,Ltd.",Basic Materials,Specialty Chemicals,yfinance,stock,CNY
SHH,GREAT WALL MOTOR COMPANY LIMITE,601633.SS,Great Wall Motor Company Limited,Consumer Cyclical,Auto Manufacturers,yfinance,stock,CNY
SHH,SICHUAN BIOKIN PHARMACEUTICAL C,688506.SS,"Sichuan Biokin Pharmaceutical Co.,Ltd.",Healthcare,Drug Manufacturers—Specialty & Generic,yfinance,stock,CNY
SHH,ZHEJIANG ZHENENG ELECTRIC POWER,600023.SS,"Zhejiang Zheneng Electric Power Co., Ltd.",Utilities,Utilities—Independent Power Producers,yfinance,stock,CNY
SHH,SHANGHAI FOSUN PHARMACEUTICAL G,600196.SS,"Shanghai Fosun Pharmaceutical (Group) Co., Ltd.",Healthcare,Drug Manufacturers—Specialty & Generic,yfinance,stock,CNY
SHH,UNITED NOVA TECH CO LTD,688469.SS,"United Nova Technology Co.,Ltd.",Technology,Semiconductors,yfinance,stock,CNY
SHH,METALLURGICAL CORP OF CHINA LTD,601618.SS,Metallurgical Corporation of China Ltd.,Industrials,Engineering & Construction,yfinance,stock,CNY
SHH,COSCO SHIPPING ENGY TPT CO LTD,600026.SS,"COSCO SHIPPING Energy Transportation Co., Ltd.",Energy,Oil & Gas Midstream,yfinance,stock,CNY
SHH,SPRING AIRLINES CO LTD,601021.SS,"Spring Airlines Co., Ltd.",Industrials,Airlines,yfinance,stock,CNY
SHH,CHONGQING RURAL COMMERCIAL BANK,601077.SS,"Chongqing Rural Commercial Bank Co., Ltd.",Financial Services,Banks—Regional,yfinance,stock,CNY
SHH,HOSHINE SILICON INDUSTRY CO LTD,603260.SS,"Hoshine Silicon Industry Co., Ltd.",Basic Materials,Chemicals,yfinance,stock,CNY
